06/15-08:19:59.251808  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.57.10:1045 -> 37.157.255.194:80
06/01-17:25:57.258728  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:1838
06/01-17:25:57.873376  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:1904
06/01-17:25:58.359431  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:1942
06/01-17:25:59.408587  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:2142
06/01-17:26:00.318779  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:2326
06/01-17:26:01.070114  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:2473
06/01-17:26:01.077763  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:2475
06/01-17:26:01.441854  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:2556
06/01-17:26:01.566658  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 156.154.70.1:53 -> 192.168.2.10:2584
11/26-19:08:40.990231  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 176.32.100.76:80 -> 192.168.53.10:1173
02/16-08:06:45.470718  [**] [1:2016297:3] ET CURRENT_EVENTS Malicious iframe [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 50.6.86.212:80 -> 192.168.94.10:1030
01/11-06:19:05.889937  [**] [1:2007695:19] ET POLICY Windows 98 User-Agent Detected - Possible Malware or Non-Updated System [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.14.10:1110 -> 93.191.240.171:80
09/23-17:07:44.647347  [**] [1:2014520:2] ET INFO EXE - Served Attached HTTP [**] [Classification: Misc activity] [Priority: 3] {TCP} 208.76.52.83:80 -> 192.168.50.10:1043
09/29-07:25:33.286073  [**] [1:2012491:7] ET TROJAN Suspicious User-Agent (Presto) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.77.10:1147 -> 31.186.169.4:80
05/31-17:48:07.370420  [**] [1:2018959:2] ET POLICY PE EXE or DLL Windows file download HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 37.59.188.165:80 -> 192.168.111.10:1087
12/05-10:50:10.728141  [**] [1:2570:7] WEB-MISC Invalid HTTP Version String [**] [Classification: Detection of a Non-Standard Protocol or Event] [Priority: 2] {TCP} 192.168.25.10:1073 -> 173.212.245.146:80
03/14-18:39:35.884855  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.22.10:1045 -> 239.255.255.250:1900
01/06-04:07:08.924833  [**] [1:254:4] DNS SPOOF query response with TTL of 1 min. and no authority [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 4.2.2.3:53 -> 192.168.38.10:1029
06/15-21:03:19.737000  [**] [1:2014891:2] ET CURRENT_EVENTS RedKit - Java Exploit Requested - 5 digit jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.73.10:1044 -> 37.157.255.169:80
05/23-15:13:13.546223  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 174.35.3.47:80 -> 192.168.21.10:1170
08/18-22:43:38.254823  [**] [1:2014701:11] ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 6 or 7 set - Likely Kazy [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {UDP} 192.168.128.10:1048 -> 91.193.74.13:53
02/18-21:29:03.785994  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 69.194.143.60:80 -> 192.168.17.10:1216
02/18-21:29:12.955796  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 74.125.47.138:80 -> 192.168.17.10:1059
07/18-11:25:17.260970  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.33.10:1096 -> 62.109.7.167:80
11/23-13:46:54.487046  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 8.15.229.35:80 -> 192.168.23.10:1149
05/03-14:09:40.884802  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 98.191.251.17:53 -> 192.168.83.10:1109
05/03-14:09:52.645713  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 98.191.251.17:53 -> 192.168.83.10:1457
05/03-14:09:53.358594  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 98.191.251.17:53 -> 192.168.83.10:1480
05/03-14:09:54.983013  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 98.191.251.17:53 -> 192.168.83.10:1507
05/03-14:09:56.095848  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 98.191.251.17:53 -> 192.168.83.10:1543
05/03-14:10:00.236635  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 98.191.251.17:53 -> 192.168.83.10:1680
01/11-16:59:37.375773  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.81.10:1034 -> 239.255.255.250:1900
04/30-21:53:53.443658  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 72.20.114.87:80 -> 192.168.31.10:1099
06/18-02:54:41.344306  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.82.10:1038 -> 239.255.255.250:1900
07/11-10:55:08.958456  [**] [1:1432:6] P2P GNUTella client request [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.116.10:1085 -> 88.178.34.130:6346
07/11-10:55:09.704210  [**] [1:2101432:7] GPL P2P GNUTella client request [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.116.10:1086 -> 41.102.113.221:6346
07/11-10:55:27.783379  [**] [1:2001664:7] ET P2P Gnutella Connect [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.116.10:1095 -> 89.170.9.189:6346
12/14-02:20:19.012473  [**] [1:2013037:4] ET POLICY Java EXE Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 109.236.82.90:80 -> 192.168.98.10:1067
07/07-14:49:06.145502  [**] [1:2015474:2] ET TROJAN ZeroAccess udp traffic detected [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 192.168.120.10:1161 -> 83.133.123.20:53
01/25-22:54:33.321386  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.39.10:1038 -> 239.255.255.250:1900
08/04-07:11:11.384056  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.84.10:1035 -> 239.255.255.250:1900
06/30-12:42:30.190336  [**] [1:2018358:2] ET INFO GENERIC SUSPICIOUS POST to Dotted Quad with Fake Browser 1 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.28.10:1086 -> 192.166.218.218:80
07/22-13:19:38.611571  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 108.170.198.165:80 -> 192.168.86.10:1192
04/03-14:31:41.148286  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.28.10:1040 -> 239.255.255.250:1900
06/28-14:55:14.566205  [**] [1:2014892:3] ET CURRENT_EVENTS RedKit - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.137.64:80 -> 192.168.82.10:1039
12/20-16:09:19.565781  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.52.10:1110 -> 239.255.255.250:1900
05/26-09:33:20.723068  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
08/28-18:05:12.516387  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.95.10:1035 -> 239.255.255.250:1900
04/13-14:25:23.306221  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
01/09-02:14:59.690870  [**] [1:2017199:2] ET CURRENT_EVENTS Java UA Requesting Numeric.ext From Base Dir (Observed in Redkit/Sakura) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.53.10:1038 -> 184.168.239.1:80
06/02-06:21:17.020368  [**] [1:2015050:3] ET TROJAN Generic - 8Char.JAR Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.170.190:80 -> 192.168.29.10:1039
10/14-12:59:11.079362  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.62.10:1261 -> 95.163.66.209:80
10/20-14:06:57.196430  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
07/08-01:25:30.966051  [**] [1:2012810:8] ET POLICY HTTP Request to a *.tk domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.39.10:1040 -> 95.168.187.211:80
07/08-01:25:33.524127  [**] [1:2017199:2] ET CURRENT_EVENTS Java UA Requesting Numeric.ext From Base Dir (Observed in Redkit/Sakura) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.39.10:1041 -> 95.168.187.211:80
07/08-01:25:39.211184  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.39.10:1042 -> 95.168.187.211:80
05/24-18:18:14.295016  [**] [1:2014749:2] ET CURRENT_EVENTS Redkit Java Exploit request to /24842.jar [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.89.10:1040 -> 188.72.248.214:80
07/05-20:23:13.921813  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.69.10:1039 -> 95.168.187.209:80
06/28-10:32:21.049140  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 184.28.213.231:80 -> 192.168.114.10:1116
07/07-18:49:44.814743  [**] [1:2015057:2] ET CURRENT_EVENTS c3284d malware network iframe [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 111.68.119.50:80 -> 192.168.56.10:1030
02/14-21:56:06.666357  [**] [1:2014234:9] ET TROJAN Fareit/Pony Downloader Checkin 3 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.72.10:1048 -> 200.58.120.2:80
02/20-02:23:24.393213  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 67.18.156.154:53 -> 192.168.104.10:1230
02/20-02:23:24.774524  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 67.18.156.154:53 -> 192.168.104.10:1245
02/20-02:23:29.919528  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 67.18.156.154:53 -> 192.168.104.10:1444
02/20-02:23:30.093839  [**] [1:2013935:4] ET TROJAN Win32.Zbot.chas/Unruy.H Covert DNS CnC Channel TXT Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 67.18.156.154:53 -> 192.168.104.10:1451
02/20-02:23:44.359809  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 67.217.177.126:80 -> 192.168.104.10:1551
11/16-16:26:31.795140  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 68.67.128.117:80 -> 192.168.37.10:1091
12/11-23:37:03.890016  [**] [1:2015474:2] ET TROJAN ZeroAccess udp traffic detected [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 192.168.75.10:1070 -> 66.85.130.234:53
08/10-16:50:54.458891  [**] [1:2014230:4] ET TROJAN Karagany/Kazy Obfuscated Payload Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 188.40.40.189:80 -> 192.168.28.10:1090
05/14-02:16:48.213640  [**] [1:2014895:5] ET CURRENT_EVENTS RedKit - Landing Page Received - applet and code [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.174.134:80 -> 192.168.17.10:1031
05/14-02:16:51.832753  [**] [1:2014892:3] ET CURRENT_EVENTS RedKit - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 178.162.174.134:80 -> 192.168.17.10:1036
05/23-22:45:45.309878  [**] [1:2016298:3] ET CURRENT_EVENTS Malicious iframe [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 46.29.22.161:80 -> 192.168.100.10:1030
11/29-20:47:30.151648  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.84.10:1034 -> 239.255.255.250:1900
11/29-20:47:52.092723  [**] [1:2014473:2] ET INFO JAVA - Java Archive Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 91.217.153.87:80 -> 192.168.84.10:1048
11/18-06:47:32.660665  [**] [1:2014519:4] ET INFO EXE - Served Inline HTTP [**] [Classification: Misc activity] [Priority: 3] {TCP} 91.217.153.36:80 -> 192.168.114.10:1078
03/05-14:24:11.622861  [**] [1:2018430:1] ET WEB_CLIENT SUSPICOUS Possible automated connectivity check (www.google.com) [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.51.10:1071 -> 74.125.239.147:80
05/23-19:14:42.369682  [**] [1:2016540:2] ET CURRENT_EVENTS SUSPICIOUS JAR Download by Java UA with non JAR EXT matches various EKs [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 188.240.34.202:8181 -> 192.168.50.10:1039
05/26-18:44:40.235125  [**] [1:2015031:2] ET CURRENT_EVENTS Incognito - Payload Request - /load.php by Java Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.41.10:1038 -> 84.16.230.137:8080
07/11-12:05:22.217802  [**] [1:2013975:2] ET CURRENT_EVENTS Neosploit Java Exploit Kit request to /? plus hex 32 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.111.10:1046 -> 37.59.198.62:80
05/25-02:49:33.101808  [**] [1:2003626:9] ET MALWARE Double User-Agent (User-Agent User-Agent) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.34.10:1061 -> 178.162.167.31:80
12/18-15:48:20.039214  [**] [1:2016012:3] ET CURRENT_EVENTS CritXPack PDF Request (2) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.107.10:1037 -> 62.76.180.191:80
09/04-04:07:56.176169  [**] [1:402:7] ICMP Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 176.215.97.15 -> 192.168.55.10
06/12-21:19:42.923098  [**] [1:2019416:3] ET POLICY SSLv3 outbound connection from client vulnerable to POODLE attack [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 74.125.45.103:443 -> 192.168.80.10:1044
07/30-07:41:31.565899  [**] [1:2016970:3] ET CURRENT_EVENTS Karagany encrypted binary (3) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 91.203.111.15:80 -> 192.168.100.10:1066
11/17-18:27:55.142805  [**] [1:2013487:4] ET CURRENT_EVENTS Likely Generic Java Exploit Attempt Request for Java to decimal host [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.35.10:1054 -> 66.23.235.110:80
11/17-18:27:56.124202  [**] [1:2014126:1] ET CURRENT_EVENTS DRIVEBY Blackhole Likely Flash Exploit Request /field.swf [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.35.10:1062 -> 200.83.166.175:80
06/25-15:57:50.969654  [**] [1:2015482:8] ET TROJAN ZeroAccess Outbound udp traffic detected [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 192.168.28.10:1063 -> 31.176.255.255:16464
05/01-23:16:07.105273  [**] [1:2014473:2] ET INFO JAVA - Java Archive Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 37.59.198.59:80 -> 192.168.96.10:1077
05/01-23:16:07.769283  [**] [1:2013975:2] ET CURRENT_EVENTS Neosploit Java Exploit Kit request to /? plus hex 32 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.96.10:1089 -> 37.59.198.59:80
05/01-23:16:10.353718  [**] [1:2015665:1] ET CURRENT_EVENTS NeoSploit - TDS [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 192.168.96.10:1107 -> 37.59.198.59:80
03/08-19:09:58.525395  [**] [1:2011582:38] ET POLICY Vulnerable Java Version 1.6.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.2.10:1049 -> 173.201.97.1:80
03/08-19:10:00.599803  [**] [1:2017199:2] ET CURRENT_EVENTS Java UA Requesting Numeric.ext From Base Dir (Observed in Redkit/Sakura) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.2.10:1049 -> 173.201.97.1:80
03/10-19:14:21.856879  [**] [1:2015050:3] ET TROJAN Generic - 8Char.JAR Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 174.120.83.62:80 -> 192.168.115.10:1059
10/26-15:36:06.107326  [**] [1:2013911:9] ET TROJAN P2P Zeus or ZeroAccess Request To CnC [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.103.10:1046 -> 46.42.26.116:21810
07/28-12:01:31.721174  [**] [1:2014892:3] ET CURRENT_EVENTS RedKit - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 46.30.211.61:80 -> 192.168.48.10:1040
12/08-13:43:30.159726  [**] [1:2014473:2] ET INFO JAVA - Java Archive Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 91.217.153.97:80 -> 192.168.100.10:1046
07/22-05:25:28.395524  [**] [1:2017639:2] ET INFO JAR Size Under 30K Size - Potentially Hostile [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 81.169.145.163:80 -> 192.168.101.10:1053
10/03-05:01:00.555963  [**] [1:2012169:10] ET TROJAN Potential Blackhole Exploit Pack Binary Load Request [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.74.10:1042 -> 95.163.88.209:80
10/08-20:27:10.427135  [**] [1:2019415:3] ET POLICY SSLv3 inbound connection to server vulnerable to POODLE attack [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 74.125.45.95:443 -> 192.168.51.10:1072
09/20-22:46:15.894284  [**] [1:449:6] ICMP Time-To-Live Exceeded in Transit [**] [Classification: Misc activity] [Priority: 3] {ICMP} 64.94.0.8 -> 192.168.101.10
09/20-22:46:16.466365  [**] [1:2015474:2] ET TROJAN ZeroAccess udp traffic detected [**] [Classification: A Network Trojan was Detected] [Priority: 1] {UDP} 192.168.101.10:1072 -> 66.85.130.234:53
05/04-19:36:09.019079  [**] [1:2014892:3] ET CURRENT_EVENTS RedKit - Jar File Naming Algorithm [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 94.75.213.213:80 -> 192.168.32.10:1062
03/19-00:32:47.999843  [**] [1:2925:3] INFO web bug 0x0 gif attempt [**] [Classification: Misc activity] [Priority: 3] {TCP} 184.28.16.34:80 -> 192.168.78.10:1174
09/02-02:30:56.009622  [**] [1:2014126:1] ET CURRENT_EVENTS DRIVEBY Blackhole Likely Flash Exploit Request /field.swf [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.2.10:1059 -> 67.210.105.156:80
09/02-02:31:02.521459  [**] [1:2011582:38] ET POLICY Vulnerable Java Version 1.6.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.2.10:1051 -> 95.163.66.188:80
08/12-08:49:29.075705  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
